source,target,condition,significance,log2fc,level,n_cells_condition,n_cells_control,cell_line
CREB1,ZNF429,CREB1+ctrl,1.1775083163014604e-10,-1.5788798,Yes,472,24263,K562
CREB1,P4HA2,CREB1+ctrl,0.0119271508461376,-0.9113579,Yes,472,24263,K562
CREB1,RUNX1,CREB1+ctrl,6.290742787247213e-14,-0.6291846,Yes,472,24263,K562
CREB1,CASP4,CREB1+ctrl,0.9700431296026436,1.2244816,No,472,24263,K562
CREB1,LPAR5,CREB1+ctrl,0.359688992728045,-0.27633715,No,472,24263,K562
CREB1,C6orf48,CREB1+ctrl,0.0008013815687841,-0.06860715,No,472,24263,K562
ZNF326,RIOK3,ZNF326+ctrl,6.912302942843374e-09,-0.9128313,Yes,517,24263,K562
ZNF326,CEBPG,ZNF326+ctrl,2.06125183035962e-40,-1.041349,Yes,517,24263,K562
ZNF326,PHF3,ZNF326+ctrl,5.6115728463109066e-14,-0.80145764,Yes,517,24263,K562
ZNF326,RP11-141B14.1,ZNF326+ctrl,0.843486275169592,-0.05519104,No,517,24263,K562
ZNF326,NBEAL2,ZNF326+ctrl,0.0749316039127628,-0.5137863,No,517,24263,K562
ZNF326,RP11-65L19.4,ZNF326+ctrl,0.9961555530560486,-13.3080015,No,517,24263,K562
BHLHE40,NRIP1,BHLHE40+ctrl,2.5226038060091223e-08,-1.1738033,Yes,504,24263,K562
BHLHE40,TET1,BHLHE40+ctrl,4.997166758750572e-06,-0.5206473,Yes,504,24263,K562
BHLHE40,RDH10,BHLHE40+ctrl,0.0018615748278879,-0.99931145,Yes,504,24263,K562
BHLHE40,CTSF,BHLHE40+ctrl,0.0098587194427769,-0.29370737,No,504,24263,K562
BHLHE40,RIMS3,BHLHE40+ctrl,0.5746609460955738,-0.54303026,No,504,24263,K562
BHLHE40,TKTL1,BHLHE40+ctrl,0.9456211442357118,-17.094479,No,504,24263,K562
DDIT3,STC2,DDIT3+ctrl,9.43634740615734e-07,-2.963844,Yes,435,24263,K562
DDIT3,PDE9A,DDIT3+ctrl,0.0107016822337121,-1.2203007,Yes,435,24263,K562
DDIT3,KLK1,DDIT3+ctrl,0.0006367713971415,-1.0213366,Yes,435,24263,K562
