source_a,source_b,target,condition,significance,log2fc,level,n_cells_condition,n_cells_control,cell_line
KLF1,MAP2K6,ANXA5,KLF1+MAP2K6,1.7240536195335043e-09,0.52459913,Yes,222,7353,K562
KLF1,MAP2K6,IL2RG,KLF1+MAP2K6,4.4835400417014666e-14,2.945847,Yes,222,7353,K562
KLF1,MAP2K6,SLC40A1,KLF1+MAP2K6,0.0049020739050122,-0.75847673,Yes,222,7353,K562
KLF1,MAP2K6,IRX6,KLF1+MAP2K6,1.0,0.0,No,222,7353,K562
KLF1,MAP2K6,RP11-394O2.3,KLF1+MAP2K6,0.9972411756868343,-12.497525,No,222,7353,K562
KLF1,MAP2K6,ASB9,KLF1+MAP2K6,0.9972411756868343,-13.091093,No,222,7353,K562
CEBPE,RUNX1T1,RP11-1143G9.4,CEBPE+RUNX1T1,0.0295463556909068,1.4392958,Yes,1030,7353,K562
CEBPE,RUNX1T1,RP11-717F1.1,CEBPE+RUNX1T1,3.78880427329712e-131,-0.87441343,Yes,1030,7353,K562
CEBPE,RUNX1T1,MARC2,CEBPE+RUNX1T1,2.8884262518888785e-05,1.5887632,Yes,1030,7353,K562
CEBPE,RUNX1T1,FSTL1,CEBPE+RUNX1T1,0.9830546717330652,-14.367752,No,1030,7353,K562
CEBPE,RUNX1T1,RP11-69I8.2,CEBPE+RUNX1T1,0.9943511797503042,-13.747105,No,1030,7353,K562
CEBPE,RUNX1T1,COL1A1,CEBPE+RUNX1T1,0.7897564828514765,1.0952668,No,1030,7353,K562
CBL,PTPN9,FAM19A2,CBL+PTPN9,2.5867420114632523e-05,-2.3606613,Yes,234,7353,K562
CBL,PTPN9,LYZ,CBL+PTPN9,0.0388284847763064,-0.7393191,Yes,234,7353,K562
CBL,PTPN9,S100A11,CBL+PTPN9,1.92639233397972e-18,-0.57160443,Yes,234,7353,K562
CBL,PTPN9,CD160,CBL+PTPN9,0.9745327869951556,-16.287935,No,234,7353,K562
CBL,PTPN9,RP5-940J5.8,CBL+PTPN9,0.9886796958969724,-15.199488,No,234,7353,K562
