source,target,condition,significance,log2fc,level,n_cells_condition,n_cells_control,cell_line
TSC22D1,RP1-34B20.21,TSC22D1+ctrl,0.0439581110897095,0.5949652,Yes,376,7353,K562
TSC22D1,CLU,TSC22D1+ctrl,3.3277145737306192e-52,0.74050343,Yes,376,7353,K562
TSC22D1,RNF213,TSC22D1+ctrl,0.0461010513464518,0.50150514,Yes,376,7353,K562
TSC22D1,PDE1B,TSC22D1+ctrl,0.6524125405625277,0.46909952,No,376,7353,K562
TSC22D1,RP11-445O3.3,TSC22D1+ctrl,0.9893369632018292,-14.716054,No,376,7353,K562
TSC22D1,TRIM22,TSC22D1+ctrl,0.9431391790415782,-0.79576826,No,376,7353,K562
MAML2,AVP,MAML2+ctrl,4.21313755651088e-05,1.1108372,Yes,508,7353,K562
MAML2,ID1,MAML2+ctrl,0.0013365280886472,-0.59272575,Yes,508,7353,K562
MAML2,CD52,MAML2+ctrl,0.0126948038290981,-1.2340286,Yes,508,7353,K562
MAML2,TDRD12,MAML2+ctrl,0.9977742388955306,-0.37743473,No,508,7353,K562
MAML2,PSMB8,MAML2+ctrl,0.9672356452777106,-16.38707,No,508,7353,K562
MAML2,KIAA2012,MAML2+ctrl,0.9081731538736928,1.3968568,No,508,7353,K562
CEBPE,CDC45,ctrl+CEBPE,4.640743480651851e-19,-0.6426212,Yes,566,7353,K562
CEBPE,CCS,ctrl+CEBPE,0.015333148603873,0.6395292,Yes,566,7353,K562
CEBPE,HSD17B4,ctrl+CEBPE,4.136805200717567e-08,1.3324034,Yes,566,7353,K562
CEBPE,VCX3B,CEBPE+ctrl,0.996038136352597,-13.615641,No,473,7353,K562
CEBPE,RBM5-AS1,CEBPE+ctrl,0.9700458462477216,1.9712772,No,473,7353,K562
CEBPE,FLJ12825,ctrl+CEBPE,0.9784607153540698,-15.488827,No,566,7353,K562
DUSP9,LGALS12,DUSP9+ctrl,0.000298743101374,2.134674,Yes,662,7353,K562
DUSP9,TSC22D4,DUSP9+ctrl,5.980498638560589e-37,1.0539954,Yes,662,7353,K562
DUSP9,PKIG,DUSP9+ctrl,6.503254051317614e-14,0.54982203,Yes,662,7353,K562
DUSP9,RGS16,DUSP9+ctrl,0.9468823724621112,0.15623426,No,662,7353,K562
DUSP9,DDX58,DUSP9+ctrl,0.9059385085911869,-0.13351488,No,662,7353,K562
DUSP9,ARRDC3,DUSP9+ctrl,0.524251700624184,0.6493726,No,662,7353,K562
ELMSAN1,ID3,ELMSAN1+ctrl,0.0008982573411027,0.8808596,Yes,353,7353,K562
ELMSAN1,HEMGN,ctrl+ELMSAN1,2.016934933074263e-05,0.66277814,Yes,430,7353,K562
ELMSAN1,VGF,ELMSAN1+ctrl,0.0088364614912019,1.0351543,Yes,353,7353,K562
ELMSAN1,STAC3,ELMSAN1+ctrl,0.5001934912173919,-0.121008635,No,353,7353,K562
ELMSAN1,CRABP2,ctrl+ELMSAN1,0.8050105126713374,-18.743305,No,430,7353,K562
ELMSAN1,RP4-565E6.1,ELMSAN1+ctrl,0.9689654082679646,-16.301456,No,353,7353,K562
FOXA1,FAM101B,ctrl+FOXA1,0.0207383502657539,-0.78078675,Yes,335,7353,K562
FOXA1,GRAP2,FOXA1+ctrl,0.0027010806317668,2.8448985,Yes,426,7353,K562
FOXA1,AC016629.3,ctrl+FOXA1,0.0024137244994041,2.2668889,Yes,335,7353,K562
FOXA1,LRRC36,ctrl+FOXA1,0.7399513280762167,1.7384949,No,335,7353,K562
FOXA1,CCRL2,FOXA1+ctrl,0.7663514613818818,0.5570774,No,426,7353,K562
FOXA1,CACNA1C-AS2,ctrl+FOXA1,1.0,0.0,No,335,7353,K562
BCORL1,MT1E,BCORL1+ctrl,2.2883264253081275e-06,-0.8034034,Yes,456,7353,K562
BCORL1,PNMT,BCORL1+ctrl,6.032663493472753e-10,-0.92521465,Yes,456,7353,K562
BCORL1,CPXM1,BCORL1+ctrl,0.0219138153225148,1.3105757,Yes,456,7353,K562
BCORL1,SH3BGRL,BCORL1+ctrl,0.7218771383478318,-0.01098299,No,456,7353,K562
BCORL1,CTD-2311M21.3,BCORL1+ctrl,1.0,0.0,No,456,7353,K562
BCORL1,LINC00479,BCORL1+ctrl,1.0,0.0,No,456,7353,K562
MEIS1,PRSS57,MEIS1+ctrl,6.47474953226021e-19,-0.71323335,Yes,292,7353,K562
MEIS1,TUBB2B,MEIS1+ctrl,0.0145990249588414,0.66948223,Yes,292,7353,K562
MEIS1,HBE1,ctrl+MEIS1,0.0199298660036603,2.1831813,Yes,390,7353,K562
MEIS1,LINC01003,MEIS1+ctrl,0.5133306188670914,-0.007143736,No,292,7353,K562
MEIS1,TRIM31,MEIS1+ctrl,1.0,0.0,No,292,7353,K562
MEIS1,FAM49A,MEIS1+ctrl,0.9937010498817596,-14.321085,No,292,7353,K562
GLB1L2,RABGAP1L,GLB1L2+ctrl,0.0397927225416124,0.6724241,Yes,378,7353,K562
GLB1L2,AC006262.5,GLB1L2+ctrl,0.0002786664947744,0.55614686,Yes,378,7353,K562
GLB1L2,CTNNB1,GLB1L2+ctrl,1.8093723030194918e-40,0.9648554,Yes,378,7353,K562
GLB1L2,ZNF85,GLB1L2+ctrl,0.9928732322867302,-14.815226,No,378,7353,K562
GLB1L2,RP11-83A24.2,GLB1L2+ctrl,0.6634112191516128,0.09975433,No,378,7353,K562
GLB1L2,ATP9A,GLB1L2+ctrl,1.0,0.0,No,378,7353,K562
KLF1,FCGR2A,KLF1+ctrl,1.198339299146077e-09,-1.5038683,Yes,997,7353,K562
KLF1,LST1,ctrl+KLF1,0.0017361619423744,-1.1384566,Yes,644,7353,K562
KLF1,TYROBP,ctrl+KLF1,0.0275304580580785,-0.78163123,Yes,644,7353,K562
KLF1,CTC-490E21.10,ctrl+KLF1,1.0,0.0,No,644,7353,K562
KLF1,ETS1,KLF1+ctrl,0.994431435973527,-13.222285,No,997,7353,K562
KLF1,AC144568.2,KLF1+ctrl,1.0,0.0,No,997,7353,K562
BAK1,RP11-445F12.1,ctrl+BAK1,3.1958132448104834e-39,2.2087553,Yes,637,7353,K562
BAK1,LHX1,BAK1+ctrl,6.91368812112347e-53,2.7184591,Yes,534,7353,K562
BAK1,BAK1,ctrl+BAK1,7.277211592831243e-160,2.1998959,Yes,637,7353,K562
BAK1,COL18A1-AS1,ctrl+BAK1,0.9954497505841576,-12.059581,No,637,7353,K562
BAK1,CTA-384D8.34,ctrl+BAK1,1.0,0.0,No,637,7353,K562
BAK1,STRA6,ctrl+BAK1,0.9954497505841576,-13.1426325,No,637,7353,K562
FEV,PTPRS,FEV+ctrl,0.0379602146372424,-0.6147306,Yes,173,7353,K562
FEV,C10orf11,ctrl+FEV,1.2503711589382789e-11,1.0570446,Yes,474,7353,K562
FEV,RAB5B,ctrl+FEV,0.0260241091353688,0.52572536,Yes,474,7353,K562
FEV,SOCS2,FEV+ctrl,0.5835454548044113,-0.0006494224,No,173,7353,K562
FEV,TAS1R1,FEV+ctrl,1.0,0.0,No,173,7353,K562
FEV,SKAP1,ctrl+FEV,0.8891986684490217,3.7402372,No,474,7353,K562
CBL,NCF4,CBL+ctrl,0.0342448130396797,-0.76514053,Yes,538,7353,K562
CBL,PLAUR,CBL+ctrl,0.000432927382485,-0.6091149,Yes,538,7353,K562
CBL,ID1,CBL+ctrl,0.0004192169602146,-0.61101484,Yes,538,7353,K562
CBL,PLA2G1B,CBL+ctrl,0.9957921137402276,-12.901411,No,538,7353,K562
CBL,RP11-308D13.3,CBL+ctrl,0.9705513488068568,-16.196838,No,538,7353,K562
CBL,RNF168,CBL+ctrl,0.7729475665020945,0.06685233,No,538,7353,K562
ETS2,CD47,ETS2+ctrl,2.4162427619396398e-29,0.6721048,Yes,375,7353,K562
ETS2,TYROBP,ctrl+ETS2,2.384365315652497e-25,1.9147456,Yes,656,7353,K562
ETS2,CD52,ETS2+ctrl,5.314358617856386e-37,2.3927794,Yes,375,7353,K562
ETS2,HOXB6,ctrl+ETS2,0.3258985565768507,0.62455654,No,656,7353,K562
ETS2,AC007556.3,ctrl+ETS2,0.9953878688438056,-13.583809,No,656,7353,K562
ETS2,RP11-968A15.2,ETS2+ctrl,0.9517217608691196,1.6848421,No,375,7353,K562
SET,ARPC3,SET+ctrl,1.5891421271885573e-58,-0.5237667,Yes,512,7353,K562
SET,NCF4,ctrl+SET,0.0354809539329338,-1.2133536,Yes,278,7353,K562
SET,CYP3A5,ctrl+SET,0.0028502334016732,1.07886,Yes,278,7353,K562
SET,ZNF467,ctrl+SET,0.5633603903098561,0.810235,No,278,7353,K562
SET,CTD-2031P19.5,SET+ctrl,0.9876652494728874,-14.549154,No,512,7353,K562
SET,TAS2R9,ctrl+SET,1.0,0.0,No,278,7353,K562
TBX3,CHI3L2,TBX3+ctrl,0.0059428899650199,-1.919709,Yes,289,7353,K562
TBX3,PIM2,ctrl+TBX3,1.006966043734788e-08,-0.6631817,Yes,270,7353,K562
TBX3,FEV,ctrl+TBX3,0.0011764838356168,-0.6947689,Yes,270,7353,K562
TBX3,CYP2C18,ctrl+TBX3,1.0,0.0,No,270,7353,K562
TBX3,MMP19,ctrl+TBX3,0.8685233114173097,2.8594522,No,270,7353,K562
TBX3,TRGVA,TBX3+ctrl,1.0,0.0,No,289,7353,K562
LHX1,SKAP2,LHX1+ctrl,0.001408208219558,0.5507995,Yes,342,7353,K562
LHX1,CST3,LHX1+ctrl,6.010074848621826e-28,-0.56128776,Yes,342,7353,K562
LHX1,MS4A3,LHX1+ctrl,0.0376892691662812,0.89630914,Yes,342,7353,K562
LHX1,PAQR7,LHX1+ctrl,0.9278785348858036,0.5437217,No,342,7353,K562
LHX1,MBP,LHX1+ctrl,0.9660360877704296,-16.433228,No,342,7353,K562
LHX1,RP1-102K2.6,LHX1+ctrl,1.0,0.0,No,342,7353,K562
SLC4A1,PHLDA2,SLC4A1+ctrl,1.6192676115792562e-14,0.86937654,Yes,853,7353,K562
SLC4A1,PTRF,SLC4A1+ctrl,4.682817554124198e-17,0.7150327,Yes,853,7353,K562
SLC4A1,S100A4,SLC4A1+ctrl,1.483726130152264e-15,-1.08304,Yes,853,7353,K562
SLC4A1,AGXT,SLC4A1+ctrl,1.0,0.0,No,853,7353,K562
SLC4A1,RP11-510J16.5,SLC4A1+ctrl,0.984413653188135,-15.102035,No,853,7353,K562
SLC4A1,RP11-646I6.6,SLC4A1+ctrl,0.9334701914924158,0.32342434,No,853,7353,K562
RREB1,SERPINF1,RREB1+ctrl,2.394166346685606e-08,0.6644317,Yes,281,7353,K562
RREB1,CTSL,RREB1+ctrl,2.4925918126918467e-10,-0.52596927,Yes,281,7353,K562
RREB1,PRTN3,RREB1+ctrl,0.023731923780052,1.8124344,Yes,281,7353,K562
