source,target,condition,significance,log2fc,level,n_cells_condition,n_cells_control,cell_line
MRPS31,RNF41,MRPS31+ctrl,0.0269391200328498,0.7200835,Yes,69,11485,K562
MRPS31,PTRH2,MRPS31+ctrl,0.0215950555224276,0.6584569,Yes,69,11485,K562
MRPS31,TOR4A,MRPS31+ctrl,0.0376989755797024,0.6995102,Yes,69,11485,K562
MRPS31,JOSD2,MRPS31+ctrl,0.03601677893966,0.3990183,No,69,11485,K562
MRPS31,DNAJC19,MRPS31+ctrl,0.1234787306287791,0.2562945,No,69,11485,K562
MRPS31,CYB5R1,MRPS31+ctrl,0.0792121228311725,0.6707094,No,69,11485,K562
SRCAP,WTIP,SRCAP+ctrl,0.0258797527197276,0.9635427,Yes,125,11485,K562
SRCAP,ETS1,SRCAP+ctrl,0.0129396077898827,0.50035405,Yes,125,11485,K562
SRCAP,NNMT,SRCAP+ctrl,0.0447719611563366,0.8405899,Yes,125,11485,K562
SRCAP,SKA3,SRCAP+ctrl,0.9773213166792468,0.025414467,No,125,11485,K562
SRCAP,PLPP1,SRCAP+ctrl,0.7766326473657197,0.14143991,No,125,11485,K562
SRCAP,USPL1,SRCAP+ctrl,0.8753180435545125,0.25622964,No,125,11485,K562
WBP1,HYOU1,WBP1+ctrl,0.0381610690643597,0.5454947,Yes,56,11485,K562
WBP1,AHI1,WBP1+ctrl,0.033806445258834,0.5155462,Yes,56,11485,K562
WBP1,ZBTB24,WBP1+ctrl,0.0157494623240584,1.0476658,Yes,56,11485,K562
WBP1,ANXA4,WBP1+ctrl,0.945714934049154,0.01763761,No,56,11485,K562
WBP1,SCLY,WBP1+ctrl,0.6601598217190686,0.3358345,No,56,11485,K562
WBP1,TUSC3,WBP1+ctrl,0.0619795976755403,0.31871372,No,56,11485,K562
RRP12,DNER,RRP12+ctrl,0.0002116328481751,0.73906803,Yes,31,11485,K562
RRP12,NRBP2,RRP12+ctrl,0.0349277716760254,1.5545652,Yes,31,11485,K562
RRP12,SEMA3C,RRP12+ctrl,2.3274461216334084e-05,1.1103525,Yes,31,11485,K562
RRP12,ZDHHC8,RRP12+ctrl,0.3081765954252325,0.64352465,No,31,11485,K562
RRP12,BABAM2,RRP12+ctrl,0.5968316825098992,0.08169842,No,31,11485,K562
RRP12,GPR137,RRP12+ctrl,0.0762363641428138,1.176365,No,31,11485,K562
ACTB,TMEM158,ACTB+ctrl,3.371217159873475e-44,0.86319387,Yes,235,11485,K562
ACTB,TAGLN,ACTB+ctrl,1.4876977731075568e-107,0.8497765,Yes,235,11485,K562
ACTB,TPD52L1,ACTB+ctrl,3.3021396585787635e-05,0.65727603,Yes,235,11485,K562
ACTB,SIX4,ACTB+ctrl,0.6005880483124494,0.1836443,No,235,11485,K562
ACTB,IMMP1L,ACTB+ctrl,0.4331467381745719,0.15227842,No,235,11485,K562
ACTB,EFCAB2,ACTB+ctrl,0.6303164343824532,0.14683986,No,235,11485,K562
SETD5,WNT5A,SETD5+ctrl,0.0348504334751848,0.5434655,Yes,89,11485,K562
SETD5,SOCS6,SETD5+ctrl,0.0099960186887129,0.9023143,Yes,89,11485,K562
SETD5,KDM4C,SETD5+ctrl,0.0153502396814625,1.3345084,Yes,89,11485,K562
SETD5,WNK3,SETD5+ctrl,0.666223457870672,-0.37102556,No,89,11485,K562
SETD5,SLC6A15,SETD5+ctrl,0.6919504663173224,0.3565712,No,89,11485,K562
SETD5,ICK,SETD5+ctrl,0.9590565923005772,0.060524464,No,89,11485,K562
POLR2D,UBE4B,POLR2D+ctrl,0.0382300404934022,0.5886414,Yes,82,11485,K562
POLR2D,AP5B1,POLR2D+ctrl,0.0339077509158033,0.72984624,Yes,82,11485,K562
POLR2D,MFGE8,POLR2D+ctrl,0.0323975807915129,0.55826163,Yes,82,11485,K562
POLR2D,BRK1,POLR2D+ctrl,0.1881089788963833,0.07438707,No,82,11485,K562
POLR2D,EIF2AK1,POLR2D+ctrl,0.6846965776447083,0.04742098,No,82,11485,K562
POLR2D,FOXJ3,POLR2D+ctrl,0.8270546594976077,0.19923544,No,82,11485,K562
METTL1,SH2B3,METTL1+ctrl,0.0211452618674941,0.6179085,Yes,105,11485,K562
METTL1,RAB27B,METTL1+ctrl,0.0278046275640564,1.236877,Yes,105,11485,K562
METTL1,MCCC2,METTL1+ctrl,0.0165067027832544,0.8546281,Yes,105,11485,K562
METTL1,WASHC5,METTL1+ctrl,0.8469817843252601,-0.004011631,No,105,11485,K562
METTL1,NCKAP5L,METTL1+ctrl,0.8854807708952579,0.0308609,No,105,11485,K562
METTL1,CNIH1,METTL1+ctrl,0.1474042945827005,0.1564737,No,105,11485,K562
VPS35,P3H1,VPS35+ctrl,0.0001423413776647,0.742452,Yes,136,11485,K562
VPS35,GABARAPL1,VPS35+ctrl,0.0071445851205539,1.2383852,Yes,136,11485,K562
VPS35,DUSP4,VPS35+ctrl,0.0151099542646314,0.5555048,Yes,136,11485,K562
VPS35,CA9,VPS35+ctrl,0.7053829407264272,0.26660323,No,136,11485,K562
VPS35,ZSCAN30,VPS35+ctrl,0.8424325830417283,0.08633089,No,136,11485,K562
VPS35,PPP2CB,VPS35+ctrl,0.4254162691702466,0.15278268,No,136,11485,K562
GFM1,MT-ATP8,GFM1+ctrl,1.3004919703649098e-185,1.1333838,Yes,1699,11485,K562
GFM1,PRUNE2,GFM1+ctrl,2.8000721850970724e-05,0.76056004,Yes,1699,11485,K562
GFM1,E2F7,GFM1+ctrl,0.322362921197053,0.09973836,No,1699,11485,K562
GFM1,EID2B,GFM1+ctrl,0.8955079717100823,-0.019373894,No,1699,11485,K562
GFM1,TCEAL1,GFM1+ctrl,0.4041768435722732,0.036840916,No,1699,11485,K562
LIMS1,ANKRD40,LIMS1+ctrl,0.0088986987031973,0.5757047,Yes,182,11485,K562
LIMS1,EEF1AKNMT,LIMS1+ctrl,0.0488172399988199,0.5304954,Yes,182,11485,K562
LIMS1,CACNG8,LIMS1+ctrl,0.0027602230985943,0.5143665,Yes,182,11485,K562
LIMS1,FPGS,LIMS1+ctrl,0.4505464902822416,0.1606102,No,182,11485,K562
LIMS1,PEBP1,LIMS1+ctrl,0.929731534150658,0.006182432,No,182,11485,K562
LIMS1,POP7,LIMS1+ctrl,0.5480561767144818,0.06610775,No,182,11485,K562
NAA20,CDK6,NAA20+ctrl,5.168253905346032e-05,0.60299647,Yes,98,11485,K562
NAA20,PTPN4,NAA20+ctrl,0.0386371315658926,0.8470378,Yes,98,11485,K562
NAA20,PDE1C,NAA20+ctrl,5.507725938751206e-07,1.1710712,Yes,98,11485,K562
NAA20,IL7R,NAA20+ctrl,0.7744648057860478,0.12489557,No,98,11485,K562
NAA20,TEX9,NAA20+ctrl,0.9002421776173254,-0.39588928,No,98,11485,K562
NAA20,SLC30A1,NAA20+ctrl,0.194391959222317,0.54396987,No,98,11485,K562
HAUS3,AGBL5,HAUS3+ctrl,0.0228481356814753,1.1537166,Yes,40,11485,K562
HAUS3,ZKSCAN1,HAUS3+ctrl,0.0266976444523851,0.5449892,Yes,40,11485,K562
HAUS3,GOLGA2,HAUS3+ctrl,0.0020584889304427,0.7262124,Yes,40,11485,K562
HAUS3,MRPS9,HAUS3+ctrl,0.7117632909332898,-0.095275044,No,40,11485,K562
