source,target,condition,significance,log2fc,level,n_cells_condition,n_cells_control,cell_line
SRCAP,NAPEPLD,SRCAP+ctrl,0.0112409609159125,-2.1643732,Yes,110,11485,RPE1
SRCAP,YEATS2,SRCAP+ctrl,0.0088654216020171,0.746081,Yes,110,11485,RPE1
SRCAP,TSN,SRCAP+ctrl,0.0047807143832634,-0.5508784,Yes,110,11485,RPE1
SRCAP,ADAMTS6,SRCAP+ctrl,0.2233399041048578,0.27579415,No,110,11485,RPE1
SRCAP,DSG2,SRCAP+ctrl,0.589674875060417,-0.07752389,No,110,11485,RPE1
SRCAP,AUP1,SRCAP+ctrl,0.3150470322563923,-0.1268366,No,110,11485,RPE1
RRP12,GTPBP6,RRP12+ctrl,0.0264226037216915,-1.0911896,Yes,28,11485,RPE1
RRP12,HNRNPD,RRP12+ctrl,2.97724307303744e-09,-0.832939,Yes,28,11485,RPE1
RRP12,SHCBP1,RRP12+ctrl,0.0026850920364227,-1.7555914,Yes,28,11485,RPE1
RRP12,DENND4C,RRP12+ctrl,0.9870096784319922,-0.002532959,No,28,11485,RPE1
RRP12,WDR43,RRP12+ctrl,0.4308406000152698,-0.19848591,No,28,11485,RPE1
RRP12,CASP4,RRP12+ctrl,0.2115118072582086,0.5010983,No,28,11485,RPE1
NOMO3,SLC16A4,NOMO3+ctrl,0.0420455363225589,0.6930797,Yes,115,11485,RPE1
NOMO3,BTN3A2,NOMO3+ctrl,0.0210695154179592,0.60861015,Yes,115,11485,RPE1
NOMO3,ARL8A,NOMO3+ctrl,0.0049846905218649,0.6894553,Yes,115,11485,RPE1
NOMO3,NOM1,NOMO3+ctrl,0.3206490636737721,-0.39205527,No,115,11485,RPE1
NOMO3,SLC25A13,NOMO3+ctrl,0.7447528305247519,-0.22660446,No,115,11485,RPE1
NOMO3,FAM114A1,NOMO3+ctrl,0.804585367516518,0.0455021,No,115,11485,RPE1
ACTB,ORAI3,ACTB+ctrl,0.0327080974291654,-1.2231867,Yes,229,11485,RPE1
ACTB,ADAM19,ACTB+ctrl,3.249930463284417e-07,0.7649039,Yes,229,11485,RPE1
ACTB,VGLL3,ACTB+ctrl,0.000316564441313,0.56816924,Yes,229,11485,RPE1
ACTB,PPP1R21,ACTB+ctrl,0.2732598742958403,-0.5811119,No,229,11485,RPE1
ACTB,PGPEP1,ACTB+ctrl,0.212277119437911,-0.8764198,No,229,11485,RPE1
ACTB,KLHL42,ACTB+ctrl,0.0050942564769387,0.37685847,No,229,11485,RPE1
SETD5,KNL1,SETD5+ctrl,0.0096452606430887,-0.7871145,Yes,85,11485,RPE1
SETD5,KDM4C,SETD5+ctrl,0.0291720962287268,1.2614555,Yes,85,11485,RPE1
SETD5,PEA15,SETD5+ctrl,0.0073048056961873,-0.5247197,Yes,85,11485,RPE1
SETD5,DNTTIP2,SETD5+ctrl,0.0233611143188739,-0.3360073,No,85,11485,RPE1
SETD5,LINC00909,SETD5+ctrl,0.9153286187432128,0.19738698,No,85,11485,RPE1
SETD5,SDHA,SETD5+ctrl,0.1488526231972855,-0.2782731,No,85,11485,RPE1
VPS35,HIST1H2AH,VPS35+ctrl,0.0273187972691357,-1.2585056,Yes,118,11485,RPE1
VPS35,LUC7L2,VPS35+ctrl,2.819890789291049e-05,-0.5664036,Yes,118,11485,RPE1
VPS35,SYT11,VPS35+ctrl,0.0148937988091195,0.5723357,Yes,118,11485,RPE1
VPS35,HIF1A,VPS35+ctrl,0.0116216337008087,0.13706923,No,118,11485,RPE1
VPS35,EPHB2,VPS35+ctrl,0.7886961192007507,-0.06044209,No,118,11485,RPE1
VPS35,CCDC174,VPS35+ctrl,0.2434445646903831,0.47489405,No,118,11485,RPE1
GFM1,HES1,GFM1+ctrl,1.0175865538404786e-96,-1.7343978,Yes,1669,11485,RPE1
GFM1,THBD,GFM1+ctrl,1.0923373421736451e-10,-1.3793023,Yes,1669,11485,RPE1
GFM1,DLG3,GFM1+ctrl,0.0001638286493853,-0.8582897,Yes,1669,11485,RPE1
GFM1,GEMIN5,GFM1+ctrl,0.0296998259128727,-0.27034712,No,1669,11485,RPE1
